scenario_family,scenario,baseline_scenario,unit_type,iter,coverage_estimator,mean,p10,median,p90
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,5,coverage_turing,0.8157555164065395,0.6,0.9,0.9828462887200466
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,5,coverage_zhanghuang,0.8438326620485186,0.6806878306878308,0.9210915959199713,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,6,coverage_chao,0.8428405404250996,0.6721153846153847,0.9138528138528139,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,6,coverage_turing,0.8176622182716862,0.6,0.9,0.986829501915709
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,6,coverage_zhanghuang,0.8442751359592411,0.6797619047619048,0.92077324363004,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,7,coverage_chao,0.844014223879294,0.7002849002849003,0.9040204678362573,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,7,coverage_turing,0.817664891620413,0.6,0.8918128654970761,0.9839689265536724
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,7,coverage_zhanghuang,0.8454336271740692,0.7033068783068783,0.906240609927307,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,8,coverage_chao,0.8467186673765613,0.7002849002849003,0.9050047265852239,1
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,8,coverage_turing,0.8191779742413601,0.6,0.8804761904761904,0.9907258950142763
species_error_strict,species_same_genus_observed_3pct,species_baseline,species_units,8,coverage_zhanghuang,0.8480570339420093,0.7033068783068783,0.9083837234494756,1
